dataset_id,row_id,latitude,longitude,species_name,scientific_name,common_name,itis_tsn,group_size,series_id,date_time,timezone,ds_type,platform,provider,lprecision,tprecision,oceano,notes,last_mod
792,792_11,31.746866000000001,-119.788645000000002,Bm,Balaenoptera musculus,Blue Whale,180528,2,,7/14/2004 7:45:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_11"", ""obsDate"": ""2004-07-14"", ""longitude"": -119.789, ""latitude"": 31.747, ""SST"": {""PF51"": {""YEAR"": 16.5, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 16.06, ""8DAYS"": 16.22, ""MONTH"": 16.62, ""YEAR"": 16.32}, ""MODIS"": {""DAY"": 16.4, ""8DAYS"": 16.73, ""MONTH"": 17.55, ""YEAR"": 17.32}, ""HYCOM"": {""MONTH"": 17.25, ""YEAR"": 16.74}}, ""SSH"": {""AVISO"": {""8DAYS"": 51.2}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.28, ""MONTH"": 0.39, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.48, ""YEAR"": 0.33}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.41, ""MONTH"": 0.41, ""YEAR"": 0.29}}, ""BATH"": {""S2004"": -3680.0, ""ETOPO1"": -3697.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.41, ""YEAR"": 33.28}}}",,8/15/2012 7:43:41
792,792_320,32.792915000000001,-119.216922999999994,UnLgCet,Cetacea,cetaceans,180403,1,,7/6/2005 15:33:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_320"", ""obsDate"": ""2005-07-06"", ""longitude"": -119.217, ""latitude"": 32.793, ""SST"": {""PF51"": {""YEAR"": 15.9, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 17.11, ""8DAYS"": 16.95, ""MONTH"": 16.88, ""YEAR"": 16.01}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 18.42, ""YEAR"": 16.33}, ""HYCOM"": {""MONTH"": 18.69, ""YEAR"": 16.81}}, ""SSH"": {""AVISO"": {""8DAYS"": 45.74}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.69, ""MONTH"": 0.66, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.86, ""YEAR"": 0.67}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.7, ""YEAR"": 0.71}}, ""BATH"": {""S2004"": -409.0, ""ETOPO1"": -353.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.62, ""YEAR"": 33.46}}}",,8/15/2012 7:43:41
792,792_767,33.396538999999997,-121.130511999999996,Lb,Lissodelphis borealis,Northern Right Whale Dolphin,180454,6,,4/11/2007 14:08:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_767"", ""obsDate"": ""2007-04-11"", ""longitude"": -121.131, ""latitude"": 33.397, ""SST"": {""PF51"": {""YEAR"": 13.65, ""MONTH"": 13.2, ""8DAYS"": 13.05}, ""OISST"": {""DAY"": 13.35, ""8DAYS"": 13.25, ""MONTH"": 13.27, ""YEAR"": 14.75}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 13.63, ""MONTH"": 13.32, ""YEAR"": 15.39}, ""HYCOM"": {""MONTH"": 13.6, ""YEAR"": 15.03}}, ""SSH"": {""AVISO"": {""8DAYS"": 51.76}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.71, ""MONTH"": 0.59, ""8DAYS"": -9999.0}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.6, ""MONTH"": 0.58, ""YEAR"": 1.11}, ""SeaWiFS"": {""DAY"": 0.61, ""8DAYS"": 0.68, ""MONTH"": 0.62, ""YEAR"": 0.73}}, ""BATH"": {""S2004"": -3572.0, ""ETOPO1"": -3598.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.43, ""YEAR"": 33.52}}}",,8/15/2012 7:43:41
792,792_755,33.234051000000001,-118.227857000000000,Gg,Grampus griseus,Risso's Dolphin,180457,7,,4/6/2007 11:03:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_755"", ""obsDate"": ""2007-04-06"", ""longitude"": -118.228, ""latitude"": 33.234, ""SST"": {""PF51"": {""YEAR"": 16.275, ""MONTH"": 14.775, ""8DAYS"": 15.075}, ""OISST"": {""DAY"": 15.59, ""8DAYS"": 15.44, ""MONTH"": 15.4, ""YEAR"": 17.4}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 15.34, ""YEAR"": 19.04}, ""HYCOM"": {""MONTH"": 15.38, ""YEAR"": 17.48}}, ""SSH"": {""AVISO"": {""8DAYS"": 44.86}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.64, ""MONTH"": 1.63, ""8DAYS"": 1.35}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.78, ""YEAR"": 0.72}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 1.58, ""YEAR"": 0.7}}, ""BATH"": {""S2004"": -705.0, ""ETOPO1"": -695.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.56, ""YEAR"": 33.59}}}",,8/15/2012 7:43:41
792,792_92,33.995573000000000,-121.499105000000000,Zica,Ziphius cavirostris,Cuvier's Beaked Whale,180498,1,,7/24/2004 13:39:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_92"", ""obsDate"": ""2004-07-24"", ""longitude"": -121.499, ""latitude"": 33.996, ""SST"": {""PF51"": {""YEAR"": 15.3, ""MONTH"": 16.425, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 14.73, ""8DAYS"": 15.31, ""MONTH"": 14.8, ""YEAR"": 14.83}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 16.94, ""YEAR"": 15.98}, ""HYCOM"": {""MONTH"": 16.24, ""YEAR"": 15.62}}, ""SSH"": {""AVISO"": {""8DAYS"": 52.0}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.8, ""MONTH"": 0.33, ""8DAYS"": 0.57}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.42, ""MONTH"": 0.36, ""YEAR"": 0.81}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.34, ""YEAR"": 0.8}}, ""BATH"": {""S2004"": -3390.0, ""ETOPO1"": -3400.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.41, ""YEAR"": 33.29}}}",,8/15/2012 7:43:41
792,792_280,34.351835999999999,-122.323515999999998,Lo,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,180444,30,,4/29/2005 13:34:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_280"", ""obsDate"": ""2005-04-29"", ""longitude"": -122.324, ""latitude"": 34.352, ""SST"": {""PF51"": {""YEAR"": 15.45, ""MONTH"": 14.325, ""8DAYS"": 15.75}, ""OISST"": {""DAY"": 14.99, ""8DAYS"": 14.85, ""MONTH"": 13.96, ""YEAR"": 14.93}, ""MODIS"": {""DAY"": 14.23, ""8DAYS"": 14.75, ""MONTH"": 14.57, ""YEAR"": 15.34}, ""HYCOM"": {""MONTH"": 14.59, ""YEAR"": 15.57}}, ""SSH"": {""AVISO"": {""8DAYS"": 60.56}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.53, ""MONTH"": 0.33, ""8DAYS"": 0.29}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 0.3, ""YEAR"": 0.59}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 0.28, ""MONTH"": 0.34, ""YEAR"": 0.55}}, ""BATH"": {""S2004"": -4010.0, ""ETOPO1"": -4025.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.21, ""YEAR"": 33.22}}}",,8/15/2012 7:43:41
792,792_511,33.494252000000003,-117.952005000000000,Ba,Balaenoptera acutorostrata,Common Minke Whale,180524,1,,4/8/2006 5:41:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_511"", ""obsDate"": ""2006-04-08"", ""longitude"": -117.952, ""latitude"": 33.494, ""SST"": {""PF51"": {""YEAR"": 17.175, ""MONTH"": 15.15, ""8DAYS"": 15.15}, ""OISST"": {""DAY"": 14.9, ""8DAYS"": 14.7, ""MONTH"": 15.19, ""YEAR"": 17.76}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 14.98, ""MONTH"": 15.34, ""YEAR"": 19.3}, ""HYCOM"": {""MONTH"": 14.94, ""YEAR"": 17.5}}, ""SSH"": {""AVISO"": {""8DAYS"": 51.85}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.66, ""MONTH"": 7.55, ""8DAYS"": 2.04}, ""MODIS"": {""DAY"": 2.49, ""8DAYS"": 1.88, ""MONTH"": 6.75, ""YEAR"": 2.41}, ""SeaWiFS"": {""DAY"": 1.84, ""8DAYS"": 2.45, ""MONTH"": 7.3, ""YEAR"": 1.56}}, ""BATH"": {""S2004"": -443.0, ""ETOPO1"": -468.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.57, ""YEAR"": 33.57}}}",,8/15/2012 7:43:41
792,792_864,35.001900999999997,-120.762146999999999,Mn,Megaptera novaeangliae,Humpback Whale,180530,2,,7/13/2007 10:03:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_864"", ""obsDate"": ""2007-07-13"", ""longitude"": -120.762, ""latitude"": 35.002, ""SST"": {""PF51"": {""YEAR"": 12.225, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 15.2, ""8DAYS"": 14.38, ""MONTH"": 13.61, ""YEAR"": 13.16}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 13.0, ""YEAR"": 13.12}, ""HYCOM"": {""MONTH"": 13.71, ""YEAR"": 13.24}}, ""SSH"": {""AVISO"": {""8DAYS"": 44.3}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.43, ""MONTH"": 2.66, ""8DAYS"": 2.66}, ""MODIS"": {""DAY"": 21.09, ""8DAYS"": 11.76, ""MONTH"": 7.79, ""YEAR"": 4.51}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 2.59, ""MONTH"": 2.59, ""YEAR"": 1.5}}, ""BATH"": {""S2004"": -77.0, ""ETOPO1"": -77.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.86, ""YEAR"": 33.67}}}",,8/15/2012 7:43:41
792,792_851,35.050035999999999,-120.819153000000000,UnLgCet,Cetacea,cetaceans,180403,1,,7/13/2007 7:36:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_851"", ""obsDate"": ""2007-07-13"", ""longitude"": -120.819, ""latitude"": 35.05, ""SST"": {""PF51"": {""YEAR"": 12.225, ""MONTH"": -9999.0, ""8DAYS"": -9999.0}, ""OISST"": {""DAY"": 15.2, ""8DAYS"": 14.38, ""MONTH"": 13.61, ""YEAR"": 13.16}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": -9999, ""MONTH"": 13.27, ""YEAR"": 13.21}, ""HYCOM"": {""MONTH"": 13.71, ""YEAR"": 13.24}}, ""SSH"": {""AVISO"": {""8DAYS"": 44.3}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 1.43, ""MONTH"": 2.66, ""8DAYS"": 2.66}, ""MODIS"": {""DAY"": 7.17, ""8DAYS"": 4.91, ""MONTH"": 4.18, ""YEAR"": 3.39}, ""SeaWiFS"": {""DAY"": -9999, ""8DAYS"": 2.59, ""MONTH"": 2.59, ""YEAR"": 1.5}}, ""BATH"": {""S2004"": -102.0, ""ETOPO1"": -100.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25058, ""PROVINCE"": ""Cold Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.86, ""YEAR"": 33.67}}}",,8/15/2012 7:43:41
792,792_29,33.202537000000000,-118.427950999999993,UD,Delphinidae,dolphins,180415,70,,7/18/2004 6:39:00,-8.000000000000000,ptobs,boat,"Annie Douglas, Cascadia Research Collective",6,111110,"{""oid"": ""792_29"", ""obsDate"": ""2004-07-18"", ""longitude"": -118.428, ""latitude"": 33.203, ""SST"": {""PF51"": {""YEAR"": 17.25, ""MONTH"": 20.1, ""8DAYS"": 20.4}, ""OISST"": {""DAY"": 20.63, ""8DAYS"": 20.34, ""MONTH"": 19.69, ""YEAR"": 17.38}, ""MODIS"": {""DAY"": 20.91, ""8DAYS"": 20.9, ""MONTH"": 20.52, ""YEAR"": 18.64}, ""HYCOM"": {""MONTH"": 20.41, ""YEAR"": 17.94}}, ""SSH"": {""AVISO"": {""8DAYS"": 50.45}}, ""CHLOR-A"": {""SeaWiFS_etc"": {""YEAR"": 0.34, ""MONTH"": 0.25, ""8DAYS"": 0.24}, ""MODIS"": {""DAY"": -9999, ""8DAYS"": 0.24, ""MONTH"": 0.27, ""YEAR"": 0.37}, ""SeaWiFS"": {""DAY"": 0.25, ""8DAYS"": 0.25, ""MONTH"": 0.26, ""YEAR"": 0.36}}, ""BATH"": {""S2004"": -1228.0, ""ETOPO1"": -1214.0}, ""ZONE"": {""EEZ"": [{""MRGID"": 8456, ""COUNTRY"": ""United States"", ""SOVEREIGN"": ""United States""}], ""LME"": [{""LME_NUMBER"": 3, ""LME_NAME"": ""California Current""}], ""MEOW"": [{""ECO_CODE"": 25059, ""PROVINCE"": ""Warm Temperate Northeast Pacific""}]}, ""SALINITY"": {""HYCOM"": {""MONTH"": 33.48, ""YEAR"": 33.37}}}",,8/15/2012 7:43:41
